Date,SPY,QQQ,IWM,EFA,EEM,TLT,GLD,SHY,BIL
1999-01-04,76.2722,,,,,,,,
1999-01-05,77.144,,,,,,,,
1999-01-06,79.0038,,,,,,,,
1999-01-07,78.6163,,,,,,,,
1999-01-08,79.1976,,,,,,,,
1999-01-11,78.442,,,,,,,,
1999-01-12,77.0277,,,,,,,,
1999-01-13,76.4853,,,,,,,,
1999-01-14,75.1485,,,,,,,,
1999-01-15,77.1052,,,,,,,,
1999-01-19,77.609,,,,,,,,
1999-01-20,78.2289,,,,,,,,
1999-01-21,76.1559,,,,,,,,
1999-01-22,75.9816,,,,,,,,
1999-01-25,76.7565,,,,,,,,
1999-01-26,78.1514,,,,,,,,
1999-01-27,77.2408,,,,,,,,
1999-01-28,78.5388,,,,,,,,
1999-01-29,79.1394,,,,,,,,
1999-02-01,78.6744,,,,,,,,
1999-02-02,78.1901,,,,,,,,
1999-02-03,78.9844,,,,,,,,
1999-02-04,77.8026,,,,,,,,
1999-02-05,76.9115,,,,,,,,
1999-02-08,77.0665,,,,,,,,
1999-02-09,75.3423,,,,,,,,
1999-02-10,75.8266,,,,,,,,
1999-02-11,77.5702,,,,,,,,
1999-02-12,76.6403,,,,,,,,
1999-02-16,76.1753,,,,,,,,
1999-02-17,76.0978,,,,,,,,
1999-02-18,76.6984,,,,,,,,
1999-02-19,77.0277,,,,,,,,
1999-02-22,79.0813,,,,,,,,
1999-02-23,79.0426,,,,,,,,
1999-02-24,77.6477,,,,,,,,
1999-02-25,76.9115,,,,,,,,
1999-02-26,76.6015,,,,,,,,
1999-03-01,76.8146,,,,,,,,
1999-03-02,76.1366,,,,,,,,
1999-03-03,76.5434,,,,,,,,
1999-03-04,77.5121,,,,,,,,
1999-03-05,79.0716,,,,,,,,
1999-03-08,79.585,,,,,,,,
1999-03-09,79.3913,,,,,,,,
1999-03-10,80.0887,,,,,,,,
1999-03-11,80.9799,,,,,,,,
1999-03-12,80.2049,,,,,,,,
1999-03-15,81.348,,,,,,,,
1999-03-16,81.038,,,,,,,,
1999-03-17,80.6893,,,,,,,,
1999-03-18,81.9873,,,,,,,,
1999-03-19,80.5937,,,,,,,,
1999-03-22,80.749,,,,,,,,
1999-03-23,78.4186,,,,,,,,
1999-03-24,78.8653,,,,,,,,
1999-03-25,80.4772,,,,,,,,
1999-03-26,79.8946,,,,,,,,
1999-03-29,81.5064,,,,,,,,
1999-03-30,81.0792,,,,,,,,
1999-03-31,79.7781,,,,,,,,
1999-04-01,80.3801,,,,,,,,
1999-04-05,82.2832,,,,,,,,
1999-04-06,82.089,,,,,,,,
1999-04-07,82.7493,,,,,,,,
1999-04-08,83.798,,,,,,,,
1999-04-09,83.8174,,,,,,,,
1999-04-12,84.7108,,,,,,,,
1999-04-13,84.167,,,,,,,,
1999-04-14,82.7493,,,,,,,,
1999-04-15,82.4386,,,,,,,,
1999-04-16,81.7395,,,,,,,,
1999-04-19,80.4772,,,,,,,,
1999-04-20,81.487,,,,,,,,
1999-04-21,83.8174,,,,,,,,
1999-04-22,84.6136,,,,,,,,
1999-04-23,84.4,,,,,,,,
1999-04-26,84.8855,,,,,,,,
1999-04-27,85.2933,,,,,,,,
1999-04-28,84.1282,,,,,,,,
1999-04-29,83.4873,,,,,,,,
1999-04-30,82.8076,,,,,,,,
1999-05-03,84.3224,,,,,,,,
1999-05-04,83.1183,,,,,,,,
1999-05-05,83.7786,,,,,,,,
1999-05-06,83.264,,,,,,,,
1999-05-07,83.8951,,,,,,,,
1999-05-10,83.4776,,,,,,,,
1999-05-11,84.3224,,,,,,,,
1999-05-12,84.9826,,,,,,,,
1999-05-13,85.3516,,,,,,,,
1999-05-14,83.1377,,,,,,,,
1999-05-17,83.3902,,,,,,,,
1999-05-18,83.2348,,,,,,,,
1999-05-19,83.8368,,,,,,,,
1999-05-20,83.3319,,,,,,,,
1999-05-21,82.8659,,,,,,,,
